,euclidean,r2,MAE,EVS,CBD,MAPE,pearsonr,spearmanr,kendalltau,dtw_distance
AxisXaaLoad_2.csv,2.948757926717006,0.6303951507225427,1.1504768724811083,0.6333852451586279,0.0003002702842623618,0.13008387839475558,"(0.7960173059164584, 0.0)","SpearmanrResult(correlation=0.8890816769550319, pvalue=0.0)","KendalltauResult(correlation=0.8070247373722389, pvalue=0.0)",57.65289077662552
AxisXaaLoad_3.csv,3.8746289673509513,0.6196589557852639,1.5065045167092994,0.6357911065878186,0.0002926301418550304,0.41614053966830367,"(0.8035150010775942, 0.0)","SpearmanrResult(correlation=0.9016674066395085, pvalue=0.0)","KendalltauResult(correlation=0.8280886752655096, pvalue=0.0)",93.17456720387581
AxisYaaLoad_2.csv,0.6328771641803508,0.96548486061308,0.26925330716309825,0.9659198629107892,0.0003768126740854096,0.03929838408184504,"(0.9831746105173603, 0.0)","SpearmanrResult(correlation=0.9814507949118694, pvalue=0.0)","KendalltauResult(correlation=0.9348548850492667, pvalue=0.0)",12.240575194296442
AxisYaaLoad_3.csv,0.689058888457859,0.960159733725764,0.2518241373074495,0.9602132552151124,0.0003810514459527561,0.03726407223745136,"(0.9801836171552781, 0.0)","SpearmanrResult(correlation=0.9751265431943511, pvalue=0.0)","KendalltauResult(correlation=0.9202388786719373, pvalue=0.0)",12.245908068750465
